"01","北海道","HOKKAIDO"
"02","青森県","AOMORI KEN"
"03","岩手県","IWATE KEN"
"04","宮城県","MIYAGI KEN"
"05","秋田県","AKITA KEN"
"06","山形県","YAMAGATA KEN"
"07","福島県","FUKUSHIMA KEN"
"08","茨城県","IBARAKI KEN"
"09","栃木県","TOCHIGI KEN"
"10","群馬県","GUMMA KEN"
"11","埼玉県","SAITAMA KEN"
"12","千葉県","CHIBA KEN"
"13","東京都","TOKYO TO"
"14","神奈川県","KANAGAWA KEN"
"15","新潟県","NIIGATA KEN"
"16","富山県","TOYAMA KEN"
"17","石川県","ISHIKAWA KEN"
"18","福井県","FUKUI KEN"
"19","山梨県","YAMANASHI KEN"
"20","長野県","NAGANO KEN"
"21","岐阜県","GIFU KEN"
"22","静岡県","SHIZUOKA KEN"
"23","愛知県","AICHI KEN"
"24","三重県","MIE KEN"
"25","滋賀県","SHIGA KEN"
"26","京都府","KYOTO FU"
"27","大阪府","OSAKA FU"
"28","兵庫県","HYOGO KEN"
"29","奈良県","NARA KEN"
"30","和歌山県","WAKAYAMA KEN"
"31","鳥取県","TOTTORI KEN"
"32","島根県","SHIMANE KEN"
"33","岡山県","OKAYAMA KEN"
"34","広島県","HIROSHIMA KEN"
"35","山口県","YAMAGUCHI KEN"
"36","徳島県","TOKUSHIMA KEN"
"37","香川県","KAGAWA KEN"
"38","愛媛県","EHIME KEN"
"39","高知県","KOCHI KEN"
"40","福岡県","FUKUOKA KEN"
"41","佐賀県","SAGA KEN"
"42","長崎県","NAGASAKI KEN"
"43","熊本県","KUMAMOTO KEN"
"44","大分県","OITA KEN"
"45","宮崎県","MIYAZAKI KEN"
"46","鹿児島県","KAGOSHIMA KEN"
"47","沖縄県","OKINAWA KEN"
